Name,Rating,Review_count,Price_range,Category,Address,Latitude,Longitude,Current_status,Next_status,Telephone,Tags,Detail_URL
Omaha Beach,,,,,,49.3696815,-0.8710842,,,,,https://www.google.fr/maps/place/Omaha+Beach/data=!4m7!3m6!1s0x480b08081a97b07b:0x652b44ab64e81d92!8m2!3d49.3696815!4d-0.8710842!16zL20vMGdjNm4!19sChIJe7CXGggIC0gRkh3oZKtEK2U?authuser=0&hl=en&rclk=1
Sword Beach,,,,,,49.310013,-0.3286228,,,,,https://www.google.fr/maps/place/Sword+Beach/data=!4m7!3m6!1s0x480a60ee7a781641:0xcdb3cb7e646c2ec1!8m2!3d49.310013!4d-0.3286228!16zL20vMHE0dGc!19sChIJQRZ4eu5gCkgRwS5sZH7Ls80?authuser=0&hl=en&rclk=1
Chesil Beach,,,,,,50.6266703,-2.5605472,,,,,https://www.google.fr/maps/place/Chesil+Beach/data=!4m7!3m6!1s0x4872f51460aeec7b:0x9684efd6ca88f181!8m2!3d50.6266703!4d-2.5605472!16zL20vMDFueDUz!19sChIJe-yuYBT1ckgRgfGIytbvhJY?authuser=0&hl=en&rclk=1
Laga,,,,,,43.4095235,-2.6550708,,,,,https://www.google.fr/maps/place/Laga/data=!4m7!3m6!1s0xd4e3c55fe6169ef:0x3737fe4c210b719!8m2!3d43.4095235!4d-2.6550708!16s%2Fg%2F12288rng!19sChIJ72lh_lU8Tg0RGbcQwuR_cwM?authuser=0&hl=en&rclk=1
Playa de la Arena,,,,,,43.3467661,-3.1196359,,,,,https://www.google.fr/maps/place/Playa+de+la+Arena/data=!4m7!3m6!1s0xd4ef66bed24b837:0x7060c81db8931397!8m2!3d43.3467661!4d-3.1196359!16s%2Fg%2F120zv4jm!19sChIJN7gk7Wv2Tg0RlxOTuB3IYHA?authuser=0&hl=en&rclk=1
Playa de Langre,,,,,,43.475166,-3.6905336,,,,,https://www.google.fr/maps/place/Playa+de+Langre/data=!4m7!3m6!1s0xd4eb45b56d660fb:0xdb4b623ccf673693!8m2!3d43.475166!4d-3.6905336!16s%2Fg%2F121_5y2h!19sChIJ-2DWVlu0Tg0RkzZnzzxiS9s?authuser=0&hl=en&rclk=1
Puerto Banús,,,,,,36.4898088,-4.9490514,,,,,https://www.google.fr/maps/place/Puerto+Ban%C3%BAs/data=!4m7!3m6!1s0xd7329c65dfb5d99:0xe4f1894c088e6f4a!8m2!3d36.4898088!4d-4.9490514!16zL20vMDhfdnRo!19sChIJmV37XcYpcw0RSm-OCEyJ8eQ?authuser=0&hl=en&rclk=1
Spiaggia La Pelosa,,,,,,40.9654818,8.2095124,,,,,https://www.google.fr/maps/place/Spiaggia+La+Pelosa/data=!4m7!3m6!1s0x12dc9e7186be51dd:0xff1db3e8eed05b65!8m2!3d40.9654818!4d8.2095124!16s%2Fg%2F11bymx1tfy!19sChIJ3VG-hnGe3BIRZVvQ7uizHf8?authuser=0&hl=en&rclk=1
Praia Grande,,,,,,37.1161111,-8.5194444,,,,,https://www.google.fr/maps/place/Praia+Grande/data=!4m7!3m6!1s0xd1b29ada92fac17:0x5cd9b734db792612!8m2!3d37.1161111!4d-8.5194444!16s%2Fm%2F0417wk0!19sChIJF6wvqa0pGw0REiZ52zS32Vw?authuser=0&hl=en&rclk=1
Zrce Festival Beach,,,,,,44.5411092,14.9133953,,,,,https://www.google.fr/maps/place/Zrce+Festival+Beach/data=!4m7!3m6!1s0x476249ffab0182e1:0x22e47d9941fc2d53!8m2!3d44.5411092!4d14.9133953!16s%2Fm%2F04cy4dn!19sChIJ4YIBq_9JYkcRUy38QZl95CI?authuser=0&hl=en&rclk=1
Wells Next The Sea Beach,,,,,,52.9725494,0.8494856,,,,,https://www.google.fr/maps/place/Wells+Next+The+Sea+Beach/data=!4m10!3m9!1s0x47d77434838ec99b:0x16bdff0ef34e8f5!5m2!4m1!1i2!8m2!3d52.9725494!4d0.8494856!16s%2Fg%2F11c46csrsl!19sChIJm8mOgzR010cR9eg07_DfawE?authuser=0&hl=en&rclk=1
Blackpool Pleasure Beach,,,,,,53.79233,-3.0552927,,,,,https://www.google.fr/maps/place/Blackpool+Pleasure+Beach/data=!4m7!3m6!1s0x487b441b4fffffff:0xea8a3fa2884da4f2!8m2!3d53.79233!4d-3.0552927!16zL20vMGgzZGMy!19sChIJ____TxtEe0gR8qRNiKI_iuo?authuser=0&hl=en&rclk=1
Beach,,,,,,51.435115,-2.4258066,,,,,https://www.google.fr/maps/place/Beach/data=!4m7!3m6!1s0x48718444a2409e71:0x4aca4b90d2b2d6e0!8m2!3d51.435115!4d-2.4258066!16s%2Fm%2F02x4hk2!19sChIJcZ5AokSEcUgR4Nay0pBLyko?authuser=0&hl=en&rclk=1
Belmar Beach,,,,,,40.1827225,-74.0118893,,,,,https://www.google.fr/maps/place/Belmar+Beach/data=!4m7!3m6!1s0x89c227ea0db42ccb:0x945157e36f6749a3!8m2!3d40.1827225!4d-74.0118893!16s%2Fg%2F1th1dmpx!19sChIJyyy0DeonwokRo0lnb-NXUZQ?authuser=0&hl=en&rclk=1
Jupiter Beach Park,,,,,,26.9413697,-80.0721943,,,,,https://www.google.fr/maps/place/Jupiter+Beach+Park/data=!4m7!3m6!1s0x88df29be3ae1f4ed:0x81dcb6b668260918!8m2!3d26.9413697!4d-80.0721943!16s%2Fg%2F1td05wg9!19sChIJ7fThOr4p34gRGAkmaLa23IE?authuser=0&hl=en&rclk=1
Spiaggia La Cinta,,,,,,40.7917039,9.6699855,,,,,https://www.google.fr/maps/place/Spiaggia+La+Cinta/data=!4m7!3m6!1s0x12decc29c163de37:0x3d5640af9f3279a6!8m2!3d40.7917039!4d9.6699855!16s%2Fg%2F1pt_4lbdg!19sChIJN95jwSnM3hIRpnkyn69AVj0?authuser=0&hl=en&rclk=1
Apollo Beach,,,,,,27.7716947,-82.4062046,,,,,https://www.google.fr/maps/place/Apollo+Beach/data=!4m7!3m6!1s0x88c2d9c91f618edb:0xe2a7ca107dee5897!8m2!3d27.7716947!4d-82.4062046!16zL20vMHJsNjM!19sChIJ245hH8nZwogRl1jufRDKp-I?authuser=0&hl=en&rclk=1
Ocean Beach Park,,,,,,40.5844711,-73.6729951,,,,,https://www.google.fr/maps/place/Ocean+Beach+Park/data=!4m7!3m6!1s0x89c26ffa5e7af3bf:0xad427e299d415c0b!8m2!3d40.5844711!4d-73.6729951!16s%2Fg%2F1q667w5nx!19sChIJv_N6XvpvwokRC1xBnSl-Qq0?authuser=0&hl=en&rclk=1
Palolem Beach,,,,,,15.0099648,74.0232186,,,,,https://www.google.fr/maps/place/Palolem+Beach/data=!4m7!3m6!1s0x3bbe4551d05b02bb:0x1e1bc67d4b0fbbf5!8m2!3d15.0099648!4d74.0232186!16zL20vMDgxZ3B3!19sChIJuwJb0FFFvjsR9bsPS33GGx4?authuser=0&hl=en&rclk=1
Hanlan's Point Beach,,,,,,43.6214946,-79.3956513,,,,,https://www.google.fr/maps/place/Hanlan%27s+Point+Beach/data=!4m7!3m6!1s0x882b3540b1efeb1b:0x6c5ebb9c1f8d4f0a!8m2!3d43.6214946!4d-79.3956513!16zL20vMGJrN3Nj!19sChIJG-vvsUA1K4gRCk-NH5y7Xmw?authuser=0&hl=en&rclk=1
Pensacola Beach,,,,,,30.3310794,-87.1426615,,,,,https://www.google.fr/maps/place/Pensacola+Beach/data=!4m7!3m6!1s0x8890c5e1bbdfcddd:0xa1c1eb5a82780787!8m2!3d30.3310794!4d-87.1426615!16s%2Fg%2F1tplr2p9!19sChIJ3c3fu-HFkIgRhwd4glrrwaE?authuser=0&hl=en&rclk=1
Pompano Beach Park,,,,,,26.2323922,-80.08979,,,,,https://www.google.fr/maps/place/Pompano+Beach+Park/data=!4m7!3m6!1s0x88d8fd6501d94d01:0x9d7736b5e0604181!8m2!3d26.2323922!4d-80.08979!16s%2Fg%2F11c38j0b6t!19sChIJAU3ZAWX92IgRgUFg4LU2d50?authuser=0&hl=en&rclk=1
Nissi Beach,,,,,,34.9880828,33.9688179,,,,,https://www.google.fr/maps/place/Nissi+Beach/data=!4m7!3m6!1s0x14dfcff3fa31958d:0x39511923628abab9!8m2!3d34.9880828!4d33.9688179!16s%2Fm%2F03wc7mm!19sChIJjZUx-vPP3xQRubqKYiMZUTk?authuser=0&hl=en&rclk=1
Asbury Park-Beach NJ,,,,,,40.22052,-74.0012773,,,,,https://www.google.fr/maps/place/Asbury+Park-Beach+NJ/data=!4m7!3m6!1s0x89c2272cb92ef28b:0x6bc29c91009babe7!8m2!3d40.22052!4d-74.0012773!16s%2Fg%2F11jwd0k2nb!19sChIJi_IuuSwnwokR56ubAJGcwms?authuser=0&hl=en&rclk=1
Myrtle Beach,,,,,,33.6862438,-78.8839827,,,,,https://www.google.fr/maps/place/Myrtle+Beach/data=!4m7!3m6!1s0x890069acf50eab25:0xa294ca9d2227ad25!8m2!3d33.6862438!4d-78.8839827!16s%2Fg%2F1hhhtp6yg!19sChIJJasO9axpAIkRJa0nIp3KlKI?authuser=0&hl=en&rclk=1
Bruce's Beach,,,,,,33.8942078,-118.4153975,,,,,https://www.google.fr/maps/place/Bruce%27s+Beach/data=!4m7!3m6!1s0x80c2b3e777e0883f:0x6d65339c8a2e5964!8m2!3d33.8942078!4d-118.4153975!16s%2Fm%2F09glhk5!19sChIJP4jgd-ezwoARZFkuipwzZW0?authuser=0&hl=en&rclk=1
Playa de la Tejita,,,,,,28.031759,-16.5565657,,,,,https://www.google.fr/maps/place/Playa+de+la+Tejita/data=!4m7!3m6!1s0xc6a9ff5170e8a17:0xaa831a135b97ea0a!8m2!3d28.031759!4d-16.5565657!16s%2Fg%2F11c3x5q0hb!19sChIJF4oOF_WfagwRCuqXWxMag6o?authuser=0&hl=en&rclk=1
Playa de Amadores,,,,,,27.7900792,-15.7239315,,,,,https://www.google.fr/maps/place/Playa+de+Amadores/data=!4m7!3m6!1s0xc4081b41e4f27b9:0xa73fcf80b6a80e71!8m2!3d27.7900792!4d-15.7239315!16s%2Fg%2F11cn6clqwp!19sChIJuSdPHrSBQAwRcQ6otoDPP6c?authuser=0&hl=en&rclk=1
Pismo Beach,,,,,,35.13902,-120.642539,,,,,https://www.google.fr/maps/place/Pismo+Beach/data=!4m7!3m6!1s0x80ec58dd2114a2bb:0x9e91d036f9dc6e!8m2!3d35.13902!4d-120.642539!16s%2Fg%2F11xdf2_36!19sChIJu6IUId1Y7IARbtz5NtCRngA?authuser=0&hl=en&rclk=1
Newport Beach Municipal Beach,,,,,,33.6066134,-117.9261302,,,,,https://www.google.fr/maps/place/Newport+Beach+Municipal+Beach/data=!4m7!3m6!1s0x80dd1ffde7c0fcaf:0x2ac6e726babf1ec2!8m2!3d33.6066134!4d-117.9261302!16s%2Fg%2F11r8t1syt!19sChIJr_zA5_0f3YARwh6_uibnxio?authuser=0&hl=en&rclk=1
Playa del Vao,,,,,,42.1982527,-8.7918584,,,,,https://www.google.fr/maps/place/Playa+del+Vao/data=!4m7!3m6!1s0xd258a8bd976ccc1:0xe53026840a18db9c!8m2!3d42.1982527!4d-8.7918584!16s%2Fg%2F122dld0x!19sChIJwcx22YuKJQ0RnNsYCoQmMOU?authuser=0&hl=en&rclk=1
Public beach,,,,,,30.3901635,-86.5082641,,,,,https://www.google.fr/maps/place/Public+beach/data=!4m7!3m6!1s0x8891419efe454ee7:0x8f77dd9522335555!8m2!3d30.3901635!4d-86.5082641!16s%2Fg%2F11n0twhv0p!19sChIJ505F_p5BkYgRVVUzIpXdd48?authuser=0&hl=en&rclk=1
Rockaway Beach,,,,,,40.5831668,-73.8153597,,,,,https://www.google.fr/maps/place/Rockaway+Beach/data=!4m7!3m6!1s0x89c26847bca480ed:0xebbf88fd5fbc26ec!8m2!3d40.5831668!4d-73.8153597!16zL20vMDMxZmNq!19sChIJ7YCkvEdowokR7Ca8X_2Iv-s?authuser=0&hl=en&rclk=1
Wasaga Beach Provincial Park - Beach Area 1,,,,,,44.5242738,-80.0173976,,,,,https://www.google.fr/maps/place/Wasaga+Beach+Provincial+Park+-+Beach+Area+1/data=!4m7!3m6!1s0x882a81788303f937:0xf6231f8f228f893e!8m2!3d44.5242738!4d-80.0173976!16s%2Fg%2F121lyt63!19sChIJN_kDg3iBKogRPomPIo8fI_Y?authuser=0&hl=en&rclk=1
Front Beach,,,,,,10.3434006,107.0741987,,,,,https://www.google.fr/maps/place/Front+Beach/data=!4m7!3m6!1s0x31756f8e1b01b871:0x1d67823392eb0d91!8m2!3d10.3434006!4d107.0741987!16s%2Fg%2F12377jp9!19sChIJcbgBG45vdTERkQ3rkjOCZx0?authuser=0&hl=en&rclk=1
Horseneck Beach,,,,,,41.5119906,-71.0631675,,,,,https://www.google.fr/maps/place/Horseneck+Beach/data=!4m7!3m6!1s0x89e5047f5bdec0c7:0x1777f25581b63f6a!8m2!3d41.5119906!4d-71.0631675!16s%2Fg%2F11b_250gld!19sChIJx8DeW38E5YkRaj-2gVXydxc?authuser=0&hl=en&rclk=1
Crane Beach,,,,,,42.6824036,-70.7769828,,,,,https://www.google.fr/maps/place/Crane+Beach/data=!4m7!3m6!1s0x89e3233390a025eb:0xb8e38d70182d6f5b!8m2!3d42.6824036!4d-70.7769828!16s%2Fg%2F11rzh9qjy2!19sChIJ6yWgkDMj44kRW28tGHCN47g?authuser=0&hl=en&rclk=1
Las Canteras Beach,,,,,,28.1428538,-15.4337165,,,,,https://www.google.fr/maps/place/Las+Canteras+Beach/data=!4m7!3m6!1s0xc409517c01f9539:0x3c117022b0a58f31!8m2!3d28.1428538!4d-15.4337165!16s%2Fg%2F1238s5k0!19sChIJOZUfwBeVQAwRMY-lsCJwETw?authuser=0&hl=en&rclk=1
Back beach,,,,,,10.3453959,107.1000134,,,,,https://www.google.fr/maps/place/Back+beach/data=!4m7!3m6!1s0x31756fe297e51efd:0xbb3c2fb0da0c83bf!8m2!3d10.3453959!4d107.1000134!16s%2Fg%2F1211chsl!19sChIJ_R7ll-JvdTERv4MM2rAvPLs?authuser=0&hl=en&rclk=1
Pompano Beach Beach Conditions,,,,,,26.2373049,-80.1149413,,,,,https://www.google.fr/maps/place/Pompano+Beach+Beach+Conditions/data=!4m7!3m6!1s0x88d90296aaaaaaab:0xb866db98b502c5e0!8m2!3d26.2373049!4d-80.1149413!16s%2Fg%2F1tj85mvp!19sChIJq6qqqpYC2YgR4MUCtZjbZrg?authuser=0&hl=en&rclk=1
Flic En Flac Beach,,,,,,-20.2995348,57.3634236,,,,,https://www.google.fr/maps/place/Flic+En+Flac+Beach/data=!4m7!3m6!1s0x217c417c1f2a3627:0x9e26e29445b62355!8m2!3d-20.2995348!4d57.3634236!16s%2Fm%2F02r52zj!19sChIJJzYqH3xBfCERVSO2RZTiJp4?authuser=0&hl=en&rclk=1
Lifeguarded Beach,,,,,,35.1082841,-75.9539486,,,,,https://www.google.fr/maps/place/Lifeguarded+Beach/data=!4m7!3m6!1s0x89a5d94c65f0aa39:0xeb8152e967317ae!8m2!3d35.1082841!4d-75.9539486!16s%2Fg%2F11g1lh258p!19sChIJOarwZUzZpYkRrhdzli4VuA4?authuser=0&hl=en&rclk=1
Beach Hotel,,,,,,50.8221992,-0.1511254,,,,,https://www.google.fr/maps/place/Beach+Hotel/data=!4m10!3m9!1s0x487585128e963fd3:0x9ec4a23627fe052b!5m2!4m1!1i2!8m2!3d50.8221992!4d-0.1511254!16s%2Fg%2F1thqg6g_!19sChIJ0z-WjhKFdUgRKwX-JzaixJ4?authuser=0&hl=en&rclk=1
Ocean Beach Pleasure Park,,,,,,55.0024552,-1.4174185,,,,,https://www.google.fr/maps/place/Ocean+Beach+Pleasure+Park/data=!4m7!3m6!1s0x487e6ed77a93e2e1:0xc7d9378da3a2cb77!8m2!3d55.0024552!4d-1.4174185!16s%2Fg%2F1tglgwxc!19sChIJ4eKTetdufkgRd8uio4032cc?authuser=0&hl=en&rclk=1
Mavericks Beach,,,,,,37.4955696,-122.496687,,,,,https://www.google.fr/maps/place/Mavericks+Beach/data=!4m7!3m6!1s0x808f724bee999c59:0x81d5f0290fcc0248!8m2!3d37.4955696!4d-122.496687!16zL20vMDMxMzR0!19sChIJWZyZ7ktyj4ARSALMDynw1YE?authuser=0&hl=en&rclk=1
Grayton Beach State Park,,,,,,30.3315271,-86.1571991,,,,,https://www.google.fr/maps/place/Grayton+Beach+State+Park/data=!4m7!3m6!1s0x8893e489d246f1c9:0x36b362bfd5f72c98!8m2!3d30.3315271!4d-86.1571991!16zL20vMDRfY184!19sChIJyfFG0onkk4gRmCz31b9iszY?authuser=0&hl=en&rclk=1
Horseneck Beach State Reservation,,,,,,41.5119327,-71.0632348,,,,,https://www.google.fr/maps/place/Horseneck+Beach+State+Reservation/data=!4m7!3m6!1s0x89e50462d0205ce9:0x36260acd459c12da!8m2!3d41.5119327!4d-71.0632348!16zL20vMDdtdGY0!19sChIJ6Vwg0GIE5YkR2hKcRc0KJjY?authuser=0&hl=en&rclk=1
Quente Beach Club,,,,,,38.336442,26.387275,,,,,https://www.google.fr/maps/place/Quente+Beach+Club/data=!4m7!3m6!1s0x14bb782686740f53:0xc745084d85b2f679!8m2!3d38.336442!4d26.387275!16s%2Fg%2F11b5qvk8hs!19sChIJUw90hiZ4uxQRefayhU0IRcc?authuser=0&hl=en&rclk=1
Henderson Beach State Park,,,,,,30.3846734,-86.443995,,,,,https://www.google.fr/maps/place/Henderson+Beach+State+Park/data=!4m7!3m6!1s0x8891449e8a73e0e5:0xd6ee28074b665bdd!8m2!3d30.3846734!4d-86.443995!16zL20vMDRfY196!19sChIJ5eBzip5EkYgR3VtmSwco7tY?authuser=0&hl=en&rclk=1
Alabama Point East,,,,,,30.2767738,-87.5506913,,,,,https://www.google.fr/maps/place/Alabama+Point+East/data=!4m7!3m6!1s0x889a078240d594f5:0xbbd7a9fa43a41d7c!8m2!3d30.2767738!4d-87.5506913!16s%2Fg%2F11dfj813d5!19sChIJ9ZTVQIIHmogRfB2kQ_qp17s?authuser=0&hl=en&rclk=1
Chaweng Beach,,,,,,9.5323852,100.0675391,,,,,https://www.google.fr/maps/place/Chaweng+Beach/data=!4m7!3m6!1s0x3054f1bf093e8e8b:0x1aa2c8c5fa6770dc!8m2!3d9.5323852!4d100.0675391!16s%2Fg%2F11x985t9v!19sChIJi44-Cb_xVDAR3HBn-sXIoho?authuser=0&hl=en&rclk=1
Bang Tao Beach,,,,,,8.0025463,98.2926317,,,,,https://www.google.fr/maps/place/Bang+Tao+Beach/data=!4m7!3m6!1s0x305038351501315b:0xef5dd8a4b1f316f8!8m2!3d8.0025463!4d98.2926317!16s%2Fg%2F1q5bn1ghj!19sChIJWzEBFTU4UDAR-BbzsaTYXe8?authuser=0&hl=en&rclk=1
The Beach • JBR,,,,,,25.0754093,55.1313156,,,,,https://www.google.fr/maps/place/The+Beach+%E2%80%A2+JBR/data=!4m7!3m6!1s0x3e5f14a9d232d697:0xd67ad24d15b4376f!8m2!3d25.0754093!4d55.1313156!16s%2Fg%2F11bbx09r_b!19sChIJl9Yy0qkUXz4Rbze0FU3SetY?authuser=0&hl=en&rclk=1
Mikro Beach,,,,,,39.1371629,23.2643119,,,,,https://www.google.fr/maps/place/Mikro+Beach/data=!4m7!3m6!1s0x14a7230a60130f25:0xe8cda0cc1279836c!8m2!3d39.1371629!4d23.2643119!16s%2Fg%2F11jdhs67lp!19sChIJJQ8TYAojpxQRbIN5Esygzeg?authuser=0&hl=en&rclk=1
Bath Beach,,,,,,40.6038852,-74.0062078,,,,,https://www.google.fr/maps/place/Bath+Beach/data=!4m7!3m6!1s0x89c24574ce62bdeb:0xe0851da81eed6ca8!8m2!3d40.6038852!4d-74.0062078!16zL20vMDRjYngy!19sChIJ671iznRFwokRqGztHqgdheA?authuser=0&hl=en&rclk=1
Newport Beach Pier,,,,,,33.6074704,-117.9288104,,,,,https://www.google.fr/maps/place/Newport+Beach+Pier/data=!4m7!3m6!1s0x80dd1ffeb7628365:0x1f6a4c1815205025!8m2!3d33.6074704!4d-117.9288104!16zL20vMGI4Njlq!19sChIJZYNit_4f3YARJVAgFRhMah8?authuser=0&hl=en&rclk=1
Joaquina Beach,,,,,,-27.6293577,-48.4490173,,,,,https://www.google.fr/maps/place/Joaquina+Beach/data=!4m7!3m6!1s0x95273c38419b2c05:0x48dfaa94905c943f!8m2!3d-27.6293577!4d-48.4490173!16s%2Fg%2F1227jzp0!19sChIJBSybQTg8J5URP5RckJSq30g?authuser=0&hl=en&rclk=1
